date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-01-24,237.45,237.5,230.45,232.95,30854.0
2022-01-25,235.0,239.0,234.55,237.9,21335.0
2022-01-26,238.6,241.35,237.25,238.9,10682.0
2022-01-27,237.25,237.75,231.55,232.05,27590.0
2022-01-28,233.05,237.9,230.3,235.9,15328.0
2022-01-31,235.35,237.7,233.8,235.1,18124.0
2022-02-01,235.75,240.85,235.75,236.7,27180.0
2022-02-02,237.7,240.35,236.25,238.8,17511.0
2022-02-03,239.5,244.3,237.85,243.9,25158.0
2022-02-04,244.05,244.4,238.1,241.85,24383.0
2022-02-07,241.6,242.9,239.55,241.65,22859.0
2022-02-08,242.0,250.0,241.75,248.95,49900.0
2022-02-09,248.3,259.5,247.9,258.35,45254.0
2022-02-10,259.1,260.45,253.65,255.2,30097.0
2022-02-11,254.6,256.8,250.85,251.65,24392.0
2022-02-14,251.25,253.9,244.8,247.55,16805.0
2022-02-15,249.45,252.2,246.95,251.85,15138.0
2022-02-16,253.0,254.55,250.05,252.25,16712.0
2022-02-17,252.2,253.6,248.95,251.5,1147.0
2022-02-18,252.35,252.35,244.3,246.85,100.0
2022-02-22,246.7,249.1,244.0,248.45,58.0
2022-02-23,249.5,252.75,248.4,248.6,25.0
2022-02-24,248.5,248.5,238.95,239.35,54.0
2022-02-25,243.35,243.35,239.5,240.05,25.0
2022-02-28,239.5,239.5,233.95,234.25,12.0
2022-03-01,236.95,236.95,236.0,237.25,4.0
2022-03-02,235.0,235.0,229.0,230.45,8.0
2022-03-03,231.55,231.55,224.0,224.15,11.0
2022-03-04,224.25,224.9,223.4,224.15,6.0
2022-03-07,226.35,229.55,225.2,225.5,9.0
2022-03-08,223.2,233.4,223.2,234.05,8.0
2022-03-09,,,,230.45,
2022-03-10,230.0,230.0,223.85,225.2,6.0
2022-03-11,,,,222.95,
2022-03-14,220.5,224.05,218.8,219.65,27.0
2022-03-15,211.5,211.5,211.5,212.3,8.0
2022-03-16,214.3,214.3,211.3,218.6,10.0
2022-03-17,216.0,218.0,216.0,217.3,6.0
2022-03-18,,,,220.3,4.0
2022-03-21,222.65,222.65,222.65,225.85,34.0
2022-03-22,224.9,227.85,223.3,225.05,14170.0
2022-03-23,224.2,228.65,223.2,225.3,12995.0
2022-03-24,225.7,227.1,220.55,221.85,11844.0
2022-03-25,222.95,223.2,219.4,221.85,9393.0
2022-03-28,221.75,222.95,212.5,214.55,23422.0
2022-03-29,215.25,217.4,214.0,215.7,12360.0
2022-03-30,215.55,223.2,213.1,221.85,16235.0
2022-03-31,222.05,227.65,220.15,226.4,18054.0
2022-04-01,226.0,230.4,224.8,228.4,13418.0
2022-04-04,227.8,231.85,226.25,230.6,20019.0
2022-04-05,231.7,232.25,228.8,231.3,20022.0
2022-04-06,230.95,231.55,225.0,227.6,30556.0
2022-04-07,229.2,230.25,224.2,226.15,29011.0
2022-04-08,225.15,233.0,224.8,231.65,34344.0
2022-04-11,231.65,237.6,230.95,236.6,28212.0
2022-04-12,237.4,237.75,232.75,233.6,19657.0
2022-04-13,233.85,235.0,224.65,225.05,25953.0
2022-04-14,225.85,227.7,221.0,223.6,15622.0
2022-04-18,224.3,225.6,220.0,223.5,7035.0
2022-04-19,223.5,224.8,219.75,221.3,11586.0
2022-04-20,222.0,222.95,217.25,218.8,9957.0
2022-04-21,220.25,228.15,218.0,228.15,258.0
2022-04-22,227.5,229.65,226.0,227.3,70.0
2022-04-25,226.4,226.4,221.2,220.8,36.0
2022-04-26,223.0,223.0,220.6,221.4,37.0
2022-04-27,220.3,220.4,215.0,215.95,114.0
2022-04-28,217.0,218.4,214.65,217.9,144.0
2022-04-29,,,,222.55,7.0
2022-05-02,217.7,217.7,215.1,216.4,61.0
2022-05-03,216.95,220.3,216.95,218.2,12.0
2022-05-04,219.85,221.05,219.85,221.2,3.0
2022-05-05,218.5,218.5,218.0,218.4,40.0
2022-05-06,214.55,214.55,211.45,211.6,8.0
2022-05-09,212.0,212.0,204.55,206.3,26.0
2022-05-10,206.25,207.7,206.25,204.0,10.0
2022-05-11,,,,220.1,
2022-05-12,216.4,217.2,205.55,215.0,118.0
2022-05-13,,,,212.9,1.0
2022-05-16,224.0,224.0,223.5,225.8,5.0
2022-05-17,,,,228.2,
2022-05-18,,,,218.6,
2022-05-19,218.0,219.4,213.2,218.7,14519.0
2022-05-20,221.9,223.3,214.3,215.85,14559.0
2022-05-23,216.85,217.7,214.75,215.75,12024.0
2022-05-24,215.25,215.6,211.0,213.65,15176.0
2022-05-25,213.2,218.3,212.25,217.05,17428.0
2022-05-26,216.85,227.3,216.5,226.6,20947.0
2022-05-27,225.1,229.9,224.2,229.45,14248.0
2022-05-31,228.3,233.8,223.85,231.25,25579.0
2022-06-01,232.05,240.65,232.05,239.45,30339.0
